entry,px1,py1,pz1,mass1,charge1,px2,py2,pz2,mass2,charge2,px3,py3,pz3,mass3,charge3,px4,py4,pz4,mass4,charge4,px5,py5,pz5,mass5,charge5,px6,py6,pz6,mass6,charge6,px7,py7,pz7,mass7,charge7,px8,py8,pz8,mass8,charge8,px9,py9,pz9,mass9,charge9,px10,py10,pz10,mass10,charge10
10,-3.53,4.247,0.059,0.14,1,-1.707,1.871,-0.048,0.14,1,-0.574,0.786,0.019,0.14,-1,5.153,-7.781,-0.136,0.14,-1,-0.86,1.524,0.491,0.14,1,-8.846,11.015,0.334,0.053,0,-2.125,2.53,0.038,0,0,-0.846,0.436,0.072,0.014,0,0.337,1.393,-0.31,0.111,0,-4.678,2.91,-0.712,0,0
10,0.216,0.43,-0.607,0.14,1,-1.544,-2.075,3.12,0.14,-1,-1.031,-1.449,2.141,0.14,1,0.96,1.405,-2.131,0.14,-1,1.067,2.126,-3.223,0.14,-1,-2.943,-4.87,8.022,0.14,1,-1.427,-2.051,3.741,0,0,-0.356,-0.479,0.772,0,0,-0.569,-1.131,1.727,0,0,6.211,10.153,-14.69,0,0
10,-3.795,18.954,15.363,0.14,1,2.132,-9.736,-8.677,0.14,-1,-0.481,2.623,1.904,0.14,-1,-1.468,5.338,4.376,0.14,1,0.125,-0.358,-0.25,0.14,1,0.305,-1.702,-1.141,0.14,-1,-1.184,3.977,3.501,0,0,-0.187,0.801,0.699,0,0,0.076,1.23,0.737,0,0,0.194,-0.393,-0.69,0,0
10,4.377,-8.263,-4.137,0.14,-1,2.69,-4.309,-2.369,0.14,1,-3.275,5.381,2.752,0.14,-1,0.433,-1.115,-0.663,0.14,-1,0.803,-1.207,-0.808,0.14,1,4.812,-9.008,-4.689,0.14,1,2.455,-4.859,-2.79,0,0,1.296,-2.332,-1.286,0,0,-0.991,1.619,0.826,0,0,0.308,-0.838,-0.224,0,0
10,1.959,8.222,6.318,0.14,1,-1.164,-4.921,-4.117,0.14,-1,-1.738,-7.068,-6.262,0.14,1,-1.004,-3.299,-3.536,0.14,-1,0.575,1.751,1.357,0.14,-1,1.632,6.637,5.619,0.14,1,1.165,4.461,3.878,0.002,0,1.175,4,3.463,0,0,0.263,-0.189,1.238,0,0,0.028,-0.865,-0.421,0,0
10,-13.137,-14.203,13.002,0.139,1,11.434,13.149,-11.392,0.14,-1,2.369,2.937,-2.894,0.14,-1,-1.003,-0.935,1.056,0.14,-1,9.814,11.1,-9.852,0.139,1,-1.213,-1.118,1.124,0,0,-0.486,-0.513,0.487,0,0,-0.549,-0.486,0.573,0,0,4.631,6.218,-5.16,0.043,0,-0.16,-0.716,0.626,0,0
10,8.009,0.739,0.295,0.14,-1,-10.038,-7.293,-3.351,0.14,1,-4.258,-3.042,-1.845,0.14,1,-2.898,-2.025,-0.945,0.14,-1,16.822,2.006,-0.395,0.139,1,6.469,0.924,0.41,0.14,-1,1.257,0.14,-0.001,0.001,0,-0.791,-0.57,-0.226,0,0,-3.602,14.419,8.796,0,0,-2.267,-0.976,-0.819,0.023,0
10,-2.119,1.209,3.346,0.14,1,18.146,-10.678,-28.137,0.138,-1,-0.588,0.344,0.923,0.14,-1,-1.669,0.665,2.446,0.14,-1,-5.912,3.39,9.461,0.14,1,0.619,-0.372,-0.921,0,0,-5.959,3.611,9.287,0,0,-2.512,1.702,4.114,0.365,0,-1.013,0.517,1.189,0,0,1.148,-0.347,-0.223,0,0
10,3.83,9.469,2.385,0.14,1,-4.578,-10.307,-2.711,0.14,1,2.05,5.656,1.57,0.14,1,1.708,4.264,1.543,0.14,-1,-4.36,-11.812,-3.575,0.14,-1,-3.243,-7.471,-2.101,0.14,-1,-0.717,-1.919,-0.614,0.14,1,4.558,11.277,2.778,0,0,-0.383,-0.641,-0.344,0.087,0,-0.206,-0.884,0.422,0,0
10,5.682,-5.348,-5.214,0.14,1,0.169,-0.153,-0.163,0.14,-1,-1.006,0.969,0.894,0.14,-1,1.565,-1.449,-1.641,0.14,1,-3.417,3.04,3.087,0.14,1,-4.448,4.901,4.896,0.14,-1,2.399,-2.779,-2.744,0,0,0.595,-0.63,-0.648,0,0,-2.048,2.015,1.915,0.002,0,0.624,-0.656,-0.773,0,0
10,-3.736,1.531,3.286,0.14,1,18.98,-5.954,-22.82,0.139,-1,-5.448,2.188,4.601,0.14,1,-1.562,0.82,1.685,0.14,-1,0.253,0.996,-1.491,0.14,1,-1.802,-4.905,7.903,0,0,1.669,0.488,-0.25,0.019,0,-1.761,0.974,1.906,0,0,-5.761,2.329,5.419,0,0,-1.557,0.639,1.374,0,0
10,4.364,10.983,-15.104,0.139,-1,-0.835,-2.967,3.378,0.14,1,1.829,4.442,-5.609,0.14,-1,1.491,3.957,-5.389,0.14,1,-1.685,-4.168,6.094,0.14,-1,-5.039,-13.597,17.152,0.14,1,0.312,0.716,-0.989,0,0,0.204,0.671,-0.749,0,0,0.308,1.109,-1.562,0.02,0,0.15,0.91,-0.977,0.001,0
10,-8.835,33.332,-17.101,0.139,1,0.134,-0.519,0.077,0.14,1,0.539,-2.523,1.389,0.14,-1,1.628,-5.578,2.633,0.14,1,-0.23,0.579,-0.375,0.14,-1,0.007,-0.6,0.395,0.14,1,-1.586,5.808,-2.714,0.14,-1,1.323,-5.087,2.619,0.14,1,1.123,-4.803,2.52,0.033,0,0.303,-1.299,0.949,0,0
10,-0.076,-0.194,-0.007,0.14,1,6.277,16.33,0.541,0.14,1,-3.467,-9.972,-0.136,0.14,-1,-1.19,-2.993,-0.034,0.14,-1,0.546,1.595,0.078,0.14,-1,2.676,6.935,0.21,0,0,0.854,2.614,0.148,0,0,1.099,3.976,0.14,0.029,0,-3.83,-8.973,-0.032,0.004,0,-2.382,-6.178,0.085,0,0
10,8.103,8.733,0.246,0.14,1,-2.693,-4.335,0.268,0.14,1,-3.463,-4.736,-0.259,0.14,-1,10.315,11.852,-0.143,0.14,-1,-0.666,-1.093,-0.717,0.14,-1,-0.021,2.321,0.408,0.14,1,0.964,0.87,-0.019,0,0,3.862,3.563,0.454,0.033,0,-22.218,-26.542,0.215,0.083,0,3.116,8.123,-1.968,0,0
10,-18.829,-14.694,11.054,0.14,1,-2.551,-2.657,3.793,0.14,-1,-4.137,-3.69,2.146,0.14,-1,-1.358,-1.258,0.598,0.14,1,-0.4,-0.397,-0.044,0.14,-1,-1.23,-1.695,0.797,0.14,1,-0.226,-0.197,0.109,0.14,-1,30.293,26.059,-19.5,0.018,0,-0.479,-0.573,0.482,0,0,-1.631,-2.042,2.714,0,0
10,12.68,6.748,-2.744,0.14,1,-7.361,-3.94,1.324,0.14,1,10.526,5.91,-2.025,0.14,-1,-1.508,-1.108,0.04,0.14,1,4.496,2.54,-1.184,0.14,1,-12.918,-7.091,3.262,0.14,-1,-12.02,-6.405,3.176,0.14,-1,-0.115,0.437,-0.467,0.14,-1,7.939,3.056,-0.907,1.697,0,-5.631,-2.073,1.584,0.035,0
10,3.818,-5.406,5.694,0.14,1,-3.296,5.022,-5.916,0.14,-1,-2.148,3.056,-3.611,0.14,-1,-1.654,2.189,-2.704,0.14,1,-0.508,0.8,-0.754,0.14,-1,-0.28,0.548,-0.666,0.14,1,4.606,-7.117,8.059,0,0,4.184,-6.092,7.045,0,0,0.39,-0.672,0.642,0,0,-1.092,1.551,-1.786,0,0
10,4.98,1.062,5.259,0.14,-1,-6.828,-1.369,-7.153,0.14,1,-4.795,-1.205,-5.682,0.14,1,-4.756,-1.167,-5.688,0.14,-1,2.487,0.64,2.944,0.14,1,11.575,2.395,11.904,0.14,-1,3.117,0.466,3.224,0.002,0,1.032,0.153,0.948,0,0,1.476,0.145,1.609,0.001,0,-2.19,0.072,-1.2,0,0
10,4.443,7.859,-11.274,0.14,1,1.215,2.392,-3.388,0.14,1,1.223,2.947,-4.219,0.14,-1,1.428,2.695,-4.202,0.14,1,-3.664,-6.671,10.447,0.139,-1,1.085,2.57,-3.387,0.14,-1,0.274,1.269,-1.628,0,0,-2.47,-4.526,6.343,0,0,-1.769,-3.221,4.871,0,0,-0.917,-1.56,2.266,0,0
10,4.874,-6.933,-1.942,0.14,-1,-8.72,13.103,3.825,0.14,1,-9.836,14.475,4.128,0.14,-1,-4.092,5.971,2.15,0.14,-1,0.721,-1.233,-0.55,0.14,1,1.026,-1.404,-0.561,0.14,1,0.568,-0.797,-0.301,0.023,0,1.135,-1.463,-0.277,0.001,0,1.292,-0.391,-0.25,0,0,2.496,-1.092,-1.526,0,0
10,-9.334,-4.479,-12.706,0.139,1,-6.14,-2.444,-8.13,0.14,1,4.027,2.206,5.699,0.14,-1,-6.547,-3.519,-9.348,0.14,-1,4.421,2.306,6.588,0.14,1,2.389,1.366,3.639,0.14,-1,-0.7,-0.426,-1.054,0.001,0,14.282,6.45,18.951,0,0,0.931,0.325,1.374,0.123,0,-0.446,-0.328,-0.765,0,0
10,-12.258,-6.653,-12.85,0.14,-1,13.757,7.567,14.106,0.14,-1,-13.579,-7.067,-14.266,0.139,1,-0.981,-0.592,-1.192,0.14,1,7.111,3.778,7.177,0.14,1,5.216,2.698,5.35,0.003,0,0.983,0.568,0.957,0,0,0.994,0.72,0.977,0,0,0.471,0.188,0.666,0.013,0,0.889,0.326,0.571,0.015,0
10,-20.851,1.884,-9.961,0.14,-1,0.874,0.005,0.635,0.14,1,10.931,-1.108,4.748,0.14,1,2.328,-0.279,0.6,0.14,-1,6.803,-0.462,3.19,0.14,1,1.938,-0.067,1.112,0,0,2.681,0.041,1.638,0,0,6.84,-0.873,3.652,0.04,0,2.332,0.23,1.489,0,0,1.229,-0.287,0.312,0,0
10,-2.589,8.58,9.015,0.14,1,-3.351,11.003,13.293,0.139,-1,7.817,-25.153,-29.142,0.141,-1,-0.104,0.288,0.532,0.14,1,-0.717,1.721,2.188,0.14,1,-0.439,0.479,0.4,0.14,-1,-0.165,0.519,0.646,0,0,0.73,-2.93,-3.095,0,0,0.064,-0.647,-0.688,0,0,0.693,-0.25,-1.261,0,0
10,-25.423,-8.359,12.453,0.14,-1,4.097,1.381,-1.911,0.14,1,0.385,0.228,-0.189,0.14,1,1.159,0.165,-0.911,0.14,1,3.552,0.643,-1.465,0.14,-1,6.02,1.611,-3.005,0.14,-1,2.487,0.707,-1.245,0.14,1,1.112,0.346,-0.564,0,0,1.026,0.61,-0.013,0,0,0.598,-0.209,-0.541,0,0
10,1.98,-1.263,1.314,0.14,1,11.665,-9.843,14.366,0.14,1,7.102,-6.098,5.657,0.14,-1,2.264,-1.463,1.717,0.14,-1,1.085,-1.113,1.455,0.14,-1,-0.967,1.129,-0.944,0.14,1,3.091,-2.359,2.072,0,0,1.982,-1.496,1.506,0,0,1.086,-0.864,0.855,0,0,1.171,-1.003,0.797,0.001,0
10,1.394,-13.965,8.872,0.14,1,0.274,-2.108,1.695,0.14,-1,-0.509,6.883,-4.172,0.14,-1,0.47,-9.376,6.014,0.139,1,-0.485,1.514,-0.711,0.14,1,-0.344,2.688,-1.55,0.14,1,-0.052,0.957,-0.637,0.14,1,-1.016,5.599,-4.543,0.038,0,-0.075,-1.047,0.586,0.016,0,-0.308,-1.944,1.212,0.001,0
10,5.13,28.327,-7.377,0.139,-1,-1.57,-9.034,2.029,0.14,1,-0.123,-0.751,0.166,0.14,-1,0.071,0.425,-0.128,0.14,1,-5.139,-25.383,6.714,0.14,1,1.891,8.911,-2.117,0,0,-0.186,-1.351,0.325,0,0,-0.114,-1.087,0.253,0,0,-0.225,-2.546,0.414,0,0,-2.811,-13.225,4.193,0.93,0
10,-3.815,-2.219,-4.539,0.14,1,11.149,5.059,14.537,0.139,1,-8.05,-4.374,-10.998,0.139,-1,-2.247,-0.796,-2.602,0.14,1,12.92,6.415,16.255,0.14,-1,-1.508,-0.712,-2.578,0.14,1,0.874,0.796,1.363,0,0,-1.019,-0.377,-1.315,0,0,-15.8,-9.52,-21.69,0,0,1.862,0.867,2.617,0.026,0
10,-7.164,-9.057,0.351,0.139,-1,15.002,20.027,-1.044,0.139,1,-2.792,-3.378,0.145,0.14,-1,-3.826,-4.514,0.6,0.14,1,-0.46,-0.523,0.281,0.14,1,-6.647,-8.461,0.606,0,0,-2.03,-2.697,0.235,0.026,0,-0.861,-1.11,-0.163,0.001,0,-0.509,-1.294,0.16,0,0,-0.559,-0.819,0.119,0,0
10,5.38,-3.881,7.897,0.14,-1,-9.675,8.038,-17.267,0.14,-1,-4.323,3.526,-6.891,0.14,1,-2.114,1.596,-3.098,0.14,1,5.405,-4.236,8.689,0.14,1,0.426,-0.221,0.734,0,0,2.409,-2.183,4.256,0,0,-1.682,1.368,-3.01,0,0,-0.381,0.325,-0.675,0,0,-0.611,0.701,-0.943,0.001,0
10,-19.91,-7.726,8.895,0.139,1,-0.224,-0.823,-0.002,0.14,-1,-11.357,-4.488,4.704,0.14,-1,-0.406,-0.172,0.082,0.14,-1,-0.904,-0.137,1.107,0.14,1,-0.119,-0.705,-0.056,0.14,-1,-1.628,-0.782,0.695,0.02,0,36.406,15.254,-19.871,0,0,-0.787,-0.165,0.285,0,0,-1.661,0.392,2.864,0,0
10,-5.671,-2.223,6.834,0.14,1,-3.325,-1.67,4.59,0.14,-1,3.659,1.615,-5.17,0.14,-1,0.929,0.177,-1.222,0.14,1,-13.195,-5.278,17.631,0.139,-1,3.798,1.743,-5.393,0.14,1,-2.769,-0.986,3.843,0.002,0,6.252,2.64,-7.795,0,0,1.942,0.767,-2.464,0,0,0.576,0.252,-0.637,0.05,0
10,5.852,1.832,-5.32,0.14,1,-8.402,-2.165,7.152,0.14,1,1.462,0.373,-1.61,0.14,-1,-1.6,-0.555,1.612,0.14,1,-2.131,-0.666,2.129,0.14,-1,4.994,1.335,-4.085,0.14,-1,2.409,0.726,-2.128,0,0,1.314,0.453,-1.072,0.019,0,-7.021,-2.167,6.812,0,0,-3.614,-0.663,3.75,0.601,0
10,-0.774,-0.62,0.008,0.14,1,-1.314,-0.999,0.033,0.14,1,17.072,12.325,-0.079,0.14,-1,-2.197,-1.48,0.157,0.14,1,-1.419,-0.73,0.03,0.14,-1,-1.895,-1.331,0.018,0.14,-1,1.255,1.184,-0.137,0.001,0,1.64,2.499,-0.621,0.001,0,-12.751,-9.399,0.353,0.005,0,-4.418,-2.884,-0.032,0,0
10,8.24,5.404,-0.114,0.14,-1,2.061,0.312,-0.039,0.14,1,19.288,11.723,-1.257,0.14,1,-1.097,-1.103,-0.024,0.14,-1,-34.901,-19.922,1.566,0.138,-1,-0.541,0.009,0.022,0.14,1,0.249,-0.112,-0.469,0.14,1,-0.168,-0.474,0.219,0.14,-1,-1.445,-0.379,0.161,0.017,0,1.451,0.475,0.03,0.017,0
10,22.26,8.374,-15.097,0.14,-1,3.253,1.21,-2.302,0.14,1,-8.128,-1.43,5.053,0.14,-1,-26.919,-7.383,14.264,0.14,1,0.114,-0.126,-0.122,0.14,1,1.328,-0.776,-0.411,0.14,-1,4.318,0.844,-1.009,0,0,1.685,0.35,-0.719,0,0,1.808,0.298,-0.775,0,0,4.627,1.907,-2.798,0.034,0
10,5.241,8.504,-8.878,0.139,-1,-3.368,-6.238,6.473,0.14,-1,-1.486,-1.991,2.563,0.14,1,8.06,11.679,-13.229,0.14,-1,-4.199,-6.251,6.84,0.14,1,1.354,2.071,-2.625,0.14,1,-0.421,-0.966,0.973,0,0,-0.737,-1.187,1.487,0.02,0,0.488,0.785,-0.451,0,0,0.363,0.965,-1.047,0,0
10,4.099,7.963,-4.697,0.14,-1,0.617,1.661,-2.229,0.14,-1,-11.399,-28.16,32.34,0.139,1,0.692,1.691,-1.916,0.14,-1,1.499,4.15,-6.311,0.14,1,0.247,0.267,-0.319,0.14,-1,0.509,0.924,-1.807,0.14,1,0.724,2.132,-3.174,0.14,1,1.023,2.083,-3.436,0,0,1.752,6.673,-7.351,0.045,0
10,-4.828,-6.647,8.95,0.14,1,-1.708,-2.497,3.255,0.14,1,-2.306,-3.203,4.874,0.14,-1,4.313,5.695,-8.446,0.14,1,6.057,8.694,-12.298,0.14,-1,0.447,0.545,-0.882,0.14,-1,0.5,0.715,-1.016,0.016,0,-1.179,-1.427,2.45,0,0,0.335,0.756,-1.348,0.018,0,0.42,0.586,-0.573,0,0
10,15.244,7.068,19.997,0.14,1,4.378,2.22,5.798,0.14,-1,-0.657,-0.199,-0.881,0.14,-1,-1.449,-0.809,-1.93,0.14,-1,-1.575,-0.675,-2.184,0.14,1,0.591,0.271,0.818,0,0,0.965,0.294,1.301,0,0,1.46,0.813,1.875,0,0,-5.652,-2.336,-7.522,0,0,1.458,0.4,2.035,0,0
